epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4982,1.32903,0.63795,1.15082,0.93603,0.9549,0.95838,0.64512,1.11636,0.48667,1.12509,6.468e-05,6.468e-05,6.468e-05
2,22.2926,0.99009,0.57417,1.03876,0.93858,0.93872,0.9577,0.6143,1.22731,0.53312,1.16709,0.000127934,0.000127934,0.000127934
3,31.9754,0.92773,0.54721,1.02259,0.94201,0.96732,0.96794,0.6483,1.11897,0.48341,1.12533,0.000186725,0.000186725,0.000186725
4,41.8388,0.91026,0.53601,1.01473,0.94501,0.96487,0.9683,0.65243,1.1159,0.48478,1.1273,0.000241054,0.000241054,0.000241054
5,52.1763,0.89595,0.5084,0.99923,0.94418,0.96023,0.96448,0.65375,1.10591,0.47178,1.12326,0.000255192,0.000255192,0.000255192
6,62.1626,0.88697,0.51211,1.00809,0.94889,0.95988,0.96614,0.65245,1.0997,0.47038,1.12277,0.00024549,0.00024549,0.00024549
7,71.56,0.86514,0.49247,0.99875,0.95066,0.95652,0.96716,0.65027,1.10353,0.47412,1.12512,0.000235788,0.000235788,0.000235788
8,82.0284,0.86507,0.49521,0.99059,0.94787,0.95878,0.96742,0.65461,1.10223,0.46641,1.12486,0.000226086,0.000226086,0.000226086
9,92.5943,0.87301,0.5006,1.00115,0.94888,0.95738,0.96908,0.65665,1.09935,0.46268,1.1243,0.000216384,0.000216384,0.000216384
10,101.766,0.8612,0.4936,1.00257,0.94791,0.95718,0.97105,0.65607,1.10462,0.46357,1.12641,0.000206682,0.000206682,0.000206682
11,112.147,0.85576,0.48504,0.99324,0.95154,0.95965,0.97028,0.65589,1.09859,0.46236,1.12317,0.00019698,0.00019698,0.00019698
12,122.733,0.85473,0.48082,0.99567,0.95279,0.95694,0.96857,0.65487,1.0948,0.46105,1.12174,0.000187278,0.000187278,0.000187278
13,131.794,0.84608,0.47266,0.98473,0.94936,0.95716,0.96713,0.65359,1.09771,0.46061,1.1237,0.000177576,0.000177576,0.000177576
14,142.125,0.85723,0.47383,0.99205,0.94829,0.96089,0.96692,0.65415,1.10417,0.46405,1.1268,0.000167874,0.000167874,0.000167874
15,152.611,0.84187,0.4718,0.98698,0.9458,0.95877,0.96715,0.65648,1.10117,0.46106,1.12506,0.000158172,0.000158172,0.000158172
16,161.894,0.84628,0.47345,0.98396,0.94741,0.96126,0.96773,0.65495,1.10212,0.46102,1.12609,0.00014847,0.00014847,0.00014847
17,171.939,0.84804,0.47379,0.99279,0.95098,0.95988,0.96843,0.65433,1.10344,0.4611,1.12682,0.000138768,0.000138768,0.000138768
18,182.392,0.84567,0.47329,0.98783,0.94587,0.96287,0.96725,0.65562,1.09786,0.45969,1.12388,0.000129066,0.000129066,0.000129066
19,192.041,0.83663,0.47343,0.981,0.94897,0.96395,0.96672,0.65502,1.09614,0.45778,1.12279,0.000119364,0.000119364,0.000119364
20,201.799,0.83723,0.46613,0.98485,0.94665,0.9623,0.96783,0.65664,1.09838,0.45784,1.12511,0.000109662,0.000109662,0.000109662
21,214.239,0.80991,0.42447,0.9974,0.94976,0.95757,0.96924,0.6533,1.10496,0.45877,1.12859,9.996e-05,9.996e-05,9.996e-05
22,224.481,0.81189,0.42501,0.99731,0.93409,0.97249,0.96681,0.65202,1.10991,0.46029,1.13089,9.0258e-05,9.0258e-05,9.0258e-05
23,233.318,0.79763,0.42167,0.99025,0.93487,0.97244,0.96916,0.65318,1.10234,0.46424,1.12881,8.0556e-05,8.0556e-05,8.0556e-05
24,243.252,0.80042,0.41825,1.00037,0.95127,0.95572,0.96676,0.65501,1.10014,0.46372,1.12849,7.0854e-05,7.0854e-05,7.0854e-05
25,253.369,0.79369,0.40961,0.99264,0.93524,0.97376,0.96711,0.65678,1.09973,0.46177,1.1281,6.1152e-05,6.1152e-05,6.1152e-05
26,262.094,0.79057,0.40922,0.98991,0.94977,0.9624,0.96757,0.65729,1.0978,0.45939,1.12711,5.145e-05,5.145e-05,5.145e-05
27,272.126,0.78711,0.41258,0.99016,0.94863,0.96248,0.96785,0.65588,1.0977,0.45998,1.1263,4.1748e-05,4.1748e-05,4.1748e-05
28,282.435,0.79211,0.40775,0.98455,0.94645,0.96503,0.96778,0.65498,1.09762,0.4614,1.12575,3.2046e-05,3.2046e-05,3.2046e-05
29,291.105,0.79156,0.4103,0.9926,0.9472,0.96305,0.96766,0.65514,1.09674,0.4606,1.12514,2.2344e-05,2.2344e-05,2.2344e-05
30,301.16,0.78577,0.40045,0.99233,0.94017,0.96508,0.96587,0.65537,1.09799,0.4607,1.12559,1.2642e-05,1.2642e-05,1.2642e-05
